trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
293,False,"{'a': 0.9, 'e': 0.05261529589251448}",20,16,8.767263130445858,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.9, 'e': 0.05208914293358933}",20,10,17.05839015087774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.9, 'e': 0.05156825150425344}",35,23,18.74887155597451,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.9, 'e': 0.0510525689892109}",25,5,32.25645290831576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.9, 'e': 0.050542043299318794}",20,14,12.101562976687648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.9, 'e': 0.050036622866325604}",25,17,6.510680920329732,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.9, 'e': 0.04953625663766235}",20,3,25.11001597305793,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.9, 'e': 0.04904089407128572}",25,14,18.084827637846715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.9, 'e': 0.04855048513057287}",20,1,14.901019154154428,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.9, 'e': 0.04806498027926714}",25,0,26.295982964487855,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
303,False,"{'a': 0.9, 'e': 0.047584330476474465}",20,16,6.6434075758636215,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.9, 'e': 0.04710848717170972}",20,12,14.959445913947045,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.9, 'e': 0.04663740229999262}",20,4,28.998415852135494,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.9, 'e': 0.046171028276992696}",35,21,27.519738426482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.9, 'e': 0.045709317994222766}",20,9,21.080163820214757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.9, 'e': 0.04525222481428054}",35,18,-8.131600410030321,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.9, 'e': 0.04479970256613774}",20,13,11.095267676904749,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.9, 'e': 0.044351705540476356}",35,19,31.28602259890387,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.9, 'e': 0.043908188485071595}",20,7,24.993138740371638,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.9, 'e': 0.04346910660022088}",25,12,23.48529772196658,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.9, 'e': 0.04303441553421867}",20,13,12.267673880716139,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
